203.6909,122.5665,-76.17675
203.335,121.85637,-75.81412
204.16762,122.40946,-75.46808
205.88365,124.07049,-75.03795
206.26538,124.640144,-75.01907
206.19678,124.783005,-75.250435
206.27762,124.86413,-75.372154
207.35625,125.828896,-75.4604
206.4212,125.22924,-76.03186
204.84152,123.83442,-76.88055
204.93852,123.71086,-77.481445
208.22472,126.50357,-77.78648
210.3281,128.46017,-77.990486
210.55289,128.87856,-78.34212
210.28421,128.29169,-78.54926
210.77483,128.3379,-78.34469
211.25592,128.46123,-78.003586
213.25023,129.42065,-77.35133
214.28136,129.15535,-76.85744
215.33101,129.26472,-76.39812
216.68756,129.73349,-75.98862
219.71814,131.92746,-75.41165
225.00621,136.61948,-73.945854
227.58559,139.47891,-72.85055
230.75912,143.28171,-72.057976
236.75925,150.67137,-71.73316
240.15329,154.92244,-71.607666
242.49252,157.63202,-70.85932
244.208,159.84462,-69.335625
245.73364,161.8418,-68.28432
248.2225,164.6079,-67.13164
250.19055,166.94339,-66.27996
251.31155,167.90396,-65.893074
252.13153,168.44096,-65.70004
252.77261,169.09421,-65.380646
252.8461,169.2314,-64.99064
252.66028,169.10182,-64.721985
252.25378,168.5354,-64.18985
251.34067,167.66629,-63.856773
250.27,166.50569,-63.746227
248.90056,164.63055,-63.78343
248.58179,164.4339,-64.407036
247.49838,163.10788,-65.42066
246.0748,161.08618,-65.486115
244.17584,159.2914,-65.937225
242.29666,158.06364,-66.585075
240.04689,156.52473,-66.99405
237.306,154.6914,-67.92164
236.29648,153.08885,-69.58411
235.42078,150.9527,-70.0489
233.84824,148.48645,-70.27987
231.00612,145.032,-70.02955
230.22461,144.26521,-69.4825
230.8568,144.35934,-68.27285
231.9526,144.71754,-66.36961
232.66104,145.63857,-65.69015
235.15457,149.01398,-65.3205
237.8706,152.1665,-65.17485
242.21674,156.75197,-64.97362
244.78023,159.63031,-64.62495
246.56342,161.84998,-64.19339
248.60649,165.0062,-62.937153
248.4353,166.07404,-62.059322
247.05666,166.52235,-61.16952
246.62036,168.87787,-59.67103
247.08572,171.10269,-59.219048
246.77364,172.21255,-58.99611
245.1982,173.20341,-58.323067
244.19745,174.37799,-57.70312
243.7709,175.46153,-56.996025
243.74374,176.4416,-57.09665
244.68265,178.88283,-58.64293
245.3566,179.69612,-59.6739
246.07489,179.48563,-60.828526
245.494,177.8132,-62.09842
243.11124,173.32503,-64.22602
241.77022,170.06859,-64.86322
240.91638,165.9984,-65.212715
240.69498,162.26997,-65.10769
240.65976,159.77126,-65.11437
241.96739,158.37328,-65.21848
243.32187,158.17273,-65.71524
243.77606,157.48436,-66.22177
243.8764,155.6159,-66.75175
243.5256,153.97133,-67.40847
242.86258,152.37961,-67.37795
242.26608,151.17752,-67.243805
242.34436,150.90414,-67.16079
243.88666,151.33096,-66.668236
244.11774,150.67468,-66.247574
243.54706,149.40646,-66.31473
241.79965,146.36514,-66.689674
240.25241,143.53311,-66.76059
238.838,141.12292,-66.82735
236.77792,137.69368,-66.92245
235.59636,135.73431,-66.93044
234.86047,134.22603,-66.85268
233.99655,132.31224,-66.36873
233.72604,131.4453,-65.821594
234.09436,131.11292,-64.74611
235.23318,132.09691,-63.49773
236.43112,133.03172,-62.71163
237.68758,133.22618,-63.187763
238.04169,131.8598,-64.43744
238.33064,130.27994,-65.39946
237.73062,128.80016,-65.94849
237.34552,127.38401,-66.71366
237.96423,127.26607,-67.15465
239.86911,127.88847,-67.854294
241.08426,128.82831,-68.58657
240.80057,129.2689,-69.513405
240.36565,129.47746,-70.344345
240.60376,130.09732,-70.93913
240.78745,131.23238,-72.07654
241.21628,132.64134,-72.757324
242.5686,135.58652,-73.19449
244.95175,138.95256,-72.81028
247.3098,141.70125,-71.921326
250.80441,145.0411,-70.54165
253.67607,146.83081,-70.15129
258.76535,148.80322,-70.2918
261.2337,149.13734,-69.90902
261.60068,147.84697,-69.26988
261.26776,145.19727,-69.44213
261.89996,144.50871,-70.00191
262.7601,144.09587,-70.79628
261.8283,141.65059,-71.693695
260.0531,139.5344,-72.013214
256.64444,136.88019,-72.178276
254.0072,133.21786,-71.76436
252.64053,130.04771,-71.767525
252.39227,128.13072,-71.74264
252.95927,126.59648,-71.14926
253.5543,126.14457,-70.95911
255.31923,126.96956,-71.05578
257.98404,129.41441,-71.195526
259.67715,131.10965,-71.40889
260.52673,132.02914,-71.685974
260.31195,131.90617,-71.69047
259.6938,131.48811,-71.5361
258.8556,131.14177,-70.89862
258.8418,131.38397,-70.19837
259.53842,132.23476,-69.11355
260.6693,133.44643,-68.26877
262.11136,135.00348,-67.25825
262.5486,135.52826,-66.48966
262.9516,135.78618,-65.75211
263.53622,136.14276,-65.940506
264.1606,136.21507,-66.35851
264.63693,135.97217,-66.689545
264.95584,135.55711,-66.91743
265.16193,135.24155,-67.14793
265.0249,134.79568,-67.53849
265.1164,135.02206,-67.63496
265.52182,135.9028,-67.64812
266.00598,137.07193,-67.54496
266.51233,138.86139,-67.41977
267.06415,140.41338,-67.55869
268.30377,143.32362,-67.98595
268.9845,145.50893,-68.05618
269.30087,147.7893,-67.70076
269.54437,150.41653,-66.49096
270.57895,152.54759,-65.92453
272.67755,155.47736,-65.14736
273.77792,156.76396,-64.723976
274.78815,157.71132,-64.274704
274.93365,157.50287,-64.13424
274.88715,156.82349,-64.265755
274.5697,155.68799,-64.57247
274.41223,154.92912,-64.989334
275.11545,154.98795,-66.30046
276.99872,156.28864,-67.89712
278.5572,157.3519,-68.56809
279.28925,158.80263,-69.24494
278.17126,158.2045,-69.40206
